,Unnamed: 0,label,judul_clean,narasi_clean,stem_narasi,stem_judul,freq_tokens
10,10,1,jokowi bersedia mengundurkan,jokowi bersedia mengundurkan gue nih,"['jokowi', 'bersedia', 'mengundurkan', 'gue', 'nih']","['jokowi', 'bersedia', 'mengundurkan']",<FreqDist with 5 samples and 5 outcomes>
11,11,1,info jalur rawan begal himbauan malam kapolr cianjur,begal merambat wilayah cianjur wilayah rewan begal harapkan waspada penuh malam jalur gekbrong arah sukabmi cibeb arah campaka sampai cilaku,"['begal', 'merambat', 'wilayah', 'cianjur', 'wilayah', 'rewan', 'begal', 'harapkan', 'waspada', 'penuh', 'malam', 'jalur', 'gekbrong', 'arah', 'sukabmi', 'cibeb', 'arah', 'campaka', 'sampai', 'cilaku']","['info', 'jalur', 'rawan', 'begal', 'himbauan', 'malam', 'kapolr', 'cianjur']",<FreqDist with 17 samples and 20 outcomes>
12,12,1,dirut pt agung podomoro land cosma batubara meningg dunia,berduka cita meninggalnya pejuang angkatan cosma batubara sabtu juli wib semoga maha kuasa mengampuni dosanya layak disisi nya amin,"['berduka', 'cita', 'meninggalnya', 'pejuang', 'angkatan', 'cosma', 'batubara', 'sabtu', 'juli', 'wib', 'semoga', 'maha', 'kuasa', 'mengampuni', 'dosanya', 'layak', 'disisi', 'nya', 'amin']","['dirut', 'pt', 'agung', 'podomoro', 'land', 'cosma', 'batubara', 'meningg', 'dunia']",<FreqDist with 19 samples and 19 outcomes>
13,13,1,surabaya telepon moeldoko suruh jokowi akui kekalahan,bantu sebar ya surabaya telpon moeldoko suruh jkw akui kekalahan info jender enggak gusar panik ya pejuangpejuang info valid,"['bantu', 'sebar', 'ya', 'surabaya', 'telpon', 'moeldoko', 'suruh', 'jkw', 'akui', 'kekalahan', 'info', 'jender', 'enggak', 'gusar', 'panik', 'ya', 'pejuangpejuang', 'info', 'valid']","['surabaya', 'telepon', 'moeldoko', 'suruh', 'jokowi', 'akui', 'kekalahan']",<FreqDist with 17 samples and 19 outcomes>
14,14,1,foto anak rohingya disiksa komuni,relakah anak cucu dibikin anak rohingya komuni berkuasa,"['relakah', 'anak', 'cucu', 'dibikin', 'anak', 'rohingya', 'komuni', 'berkuasa']","['foto', 'anak', 'rohingya', 'disiksa', 'komuni']",<FreqDist with 7 samples and 8 outcomes>
15,15,1,orang cina ktp cilacap nama karsono,kejadian pln pltu cilacap bunton adipala orang cina berbahasa indonesia bahasa jawa banyumasan tapi ktp cilacap nama karsono payah kie camat bupatin benar,"['kejadian', 'pln', 'pltu', 'cilacap', 'bunton', 'adipala', 'orang', 'cina', 'berbahasa', 'indonesia', 'bahasa', 'jawa', 'banyumasan', 'tapi', 'ktp', 'cilacap', 'nama', 'karsono', 'payah', 'kie', 'camat', 'bupatin', 'benar']","['orang', 'cina', 'ktp', 'cilacap', 'nama', 'karsono']",<FreqDist with 22 samples and 23 outcomes>
16,16,1,fadli zon warga indonesia pilih prabowo pilpr usir indonesia,fadlizon warga indonesia yang tidak pilih prabowo pilpr kamu usir dari indonesia seriu sih zonk,"['fadlizon', 'warga', 'indonesia', 'yang', 'tidak', 'pilih', 'prabowo', 'pilpr', 'kamu', 'usir', 'dari', 'indonesia', 'seriu', 'sih', 'zonk']","['fadli', 'zon', 'warga', 'indonesia', 'pilih', 'prabowo', 'pilpr', 'usir', 'indonesia']",<FreqDist with 14 samples and 15 outcomes>
17,17,1,pesan berantai undian berhadiah kementerian tenaga kerja pekerja migran indonesia hongkong,informasi resmi depnak republik indonesia selamat terpilih penghargaan nanti departemen ketenaga pekerjaan indonesia pahlawan devisa negara terbaik kode registrasi twn hubungi call offic an haryono kunjungi alamat websit wwwdepnakeryolasitecom penerimah pemberitahuan telephon sm whatsapp resmi penghargaan diundi penghargaan depnak beba biaya sertifikat beba pajak pemerintah republik indonesia pengurusan penghargaan pengawasan kepolisian negara republik indonesia dumaksudkan menghindari halhal negatif peringatan hati hati penipuan pengurusan biaya oknum oknum bertanggunh sepengetahuan depnak ri pengirim depnak ri,"['informasi', 'resmi', 'depnak', 'republik', 'indonesia', 'selamat', 'terpilih', 'penghargaan', 'nanti', 'departemen', 'ketenaga', 'pekerjaan', 'indonesia', 'pahlawan', 'devisa', 'negara', 'terbaik', 'kode', 'registrasi', 'twn', 'hubungi', 'call', 'offic', 'an', 'haryono', 'kunjungi', 'alamat', 'websit', 'wwwdepnakeryolasitecom', 'penerimah', 'pemberitahuan', 'telephon', 'sm', 'whatsapp', 'resmi', 'penghargaan', 'diundi', 'penghargaan', 'depnak', 'beba', 'biaya', 'sertifikat', 'beba', 'pajak', 'pemerintah', 'republik', 'indonesia', 'pengurusan', 'penghargaan', 'pengawasan', 'kepolisian', 'negara', 'republik', 'indonesia', 'dumaksudkan', 'menghindari', 'halhal', 'negatif', 'peringatan', 'hati', 'hati', 'penipuan', 'pengurusan', 'biaya', 'oknum', 'oknum', 'bertanggunh', 'sepengetahuan', 'depnak', 'ri', 'pengirim', 'depnak', 'ri']","['pesan', 'berantai', 'undian', 'berhadiah', 'kementerian', 'tenaga', 'kerja', 'pekerja', 'migran', 'indonesia', 'hongkong']",<FreqDist with 54 samples and 73 outcomes>
18,18,1,indonesia penuhi pki,hahhahhahahhaha indonesia penuhi pki gimanah nih apa kowi,"['hahhahhahahhaha', 'indonesia', 'penuhi', 'pki', 'gimanah', 'nih', 'apa', 'kowi']","['indonesia', 'penuhi', 'pki']",<FreqDist with 8 samples and 8 outcomes>
19,19,0,sandi sarankan warga mengadu kelurahan,astaga sandiaga sarankan warga mengadu kelurahan balai kota,"['astaga', 'sandiaga', 'sarankan', 'warga', 'mengadu', 'kelurahan', 'balai', 'kota']","['sandi', 'sarankan', 'warga', 'mengadu', 'kelurahan']",<FreqDist with 8 samples and 8 outcomes>
20,20,1,demo konflik ojek onlin angkutan bandung,prediksi besok bandung kota besok sinyalir kubu demo lagi besaran ojek onlin gabungan kumpul tggung kubu angkot gabungan jlbkr grab ojek tabrak sengaja sampai mati buah batu grab mati juga tabrak angkot karapitan grab juga gebukin angkot juga ojek onlin yang hilang enggak kabar,"['prediksi', 'besok', 'bandung', 'kota', 'besok', 'sinyalir', 'kubu', 'demo', 'lagi', 'besaran', 'ojek', 'onlin', 'gabungan', 'kumpul', 'tggung', 'kubu', 'angkot', 'gabungan', 'jlbkr', 'grab', 'ojek', 'tabrak', 'sengaja', 'sampai', 'mati', 'buah', 'batu', 'grab', 'mati', 'juga', 'tabrak', 'angkot', 'karapitan', 'grab', 'juga', 'gebukin', 'angkot', 'juga', 'ojek', 'onlin', 'yang', 'hilang', 'enggak', 'kabar']","['demo', 'konflik', 'ojek', 'onlin', 'angkutan', 'bandung']",<FreqDist with 30 samples and 44 outcomes>
21,21,0,irina istri ahli itu hermansyah mantan psk,irina istri ahli itu hermansyah mantan psk,"['irina', 'istri', 'ahli', 'itu', 'hermansyah', 'mantan', 'psk']","['irina', 'istri', 'ahli', 'itu', 'hermansyah', 'mantan', 'psk']",<FreqDist with 7 samples and 7 outcomes>
22,22,0,nezar patria kader pki rapat malam istana jam malam tuduhan alfian tandjung,nezar patria kader pki rapat malam istana jam malam tuduhan alfian tandjung,"['nezar', 'patria', 'kader', 'pki', 'rapat', 'malam', 'istana', 'jam', 'malam', 'tuduhan', 'alfian', 'tandjung']","['nezar', 'patria', 'kader', 'pki', 'rapat', 'malam', 'istana', 'jam', 'malam', 'tuduhan', 'alfian', 'tandjung']",<FreqDist with 11 samples and 12 outcomes>
23,23,1,hati hati panggilan telpon nomor diken,hati hati panggilan telpon nomor diken,"['hati', 'hati', 'panggilan', 'telpon', 'nomor', 'diken']","['hati', 'hati', 'panggilan', 'telpon', 'nomor', 'diken']",<FreqDist with 5 samples and 6 outcomes>
24,24,1,larangan antimira minimarket ditiadakan rezim jokowi paska gobel,april menteri perdagangan rachmat gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alia minuman kera minimarket indonesia larangan tertuang peraturan menteri perdagangan permendag nomor mdagper pengendalian pengawasan pengadaan peredaran penjualan minuman beralkohol diubah,"['april', 'menteri', 'perdagangan', 'rachmat', 'gobel', 'memberlakukan', 'kebijakan', 'larangan', 'penjualan', 'minuman', 'beralkohol', 'alia', 'minuman', 'kera', 'minimarket', 'indonesia', 'larangan', 'tertuang', 'peraturan', 'menteri', 'perdagangan', 'permendag', 'nomor', 'mdagper', 'pengendalian', 'pengawasan', 'pengadaan', 'peredaran', 'penjualan', 'minuman', 'beralkohol', 'diubah']","['larangan', 'antimira', 'minimarket', 'ditiadakan', 'rezim', 'jokowi', 'paska', 'gobel']",<FreqDist with 25 samples and 32 outcomes>
25,25,1,corona hoak,corona is hoax,"['corona', 'is', 'hoax']","['corona', 'hoak']",<FreqDist with 3 samples and 3 outcomes>
26,26,1,kapal kargo pengangkut kadrun tenggelam laut china selatan,kapal kargo indonesia tujuan china dilaporkan tenggelam laut china selatan sabtu malam akibat kebocoran lambung kapal kapal mengangkut kadrun tujuan china tujuan objek percobaan vaksin covid dimana harga monyet china mahal harga kadrun kali murah harga monyet penyelidikan otorita tiongkok kecelakaan fatal,"['kapal', 'kargo', 'indonesia', 'tujuan', 'china', 'dilaporkan', 'tenggelam', 'laut', 'china', 'selatan', 'sabtu', 'malam', 'akibat', 'kebocoran', 'lambung', 'kapal', 'kapal', 'mengangkut', 'kadrun', 'tujuan', 'china', 'tujuan', 'objek', 'percobaan', 'vaksin', 'covid', 'dimana', 'harga', 'monyet', 'china', 'mahal', 'harga', 'kadrun', 'kali', 'murah', 'harga', 'monyet', 'penyelidikan', 'otorita', 'tiongkok', 'kecelakaan', 'fatal']","['kapal', 'kargo', 'pengangkut', 'kadrun', 'tenggelam', 'laut', 'china', 'selatan']",<FreqDist with 31 samples and 42 outcomes>
27,27,1,foto gubernur ani makan sekumpulan orang jawa tulen,sekumpulan orang jawa tulen menyantap kulin kha jawa nasi samin kebab buaya panggang minumannya fifi onta segar percakapan memakai bahasa jawa halu alia kromo inggil pulaseperti ana akhi antum afwan hmmm sungguh mengagumkan nb seng wani prote pki opo kow bong,"['sekumpulan', 'orang', 'jawa', 'tulen', 'menyantap', 'kulin', 'kha', 'jawa', 'nasi', 'samin', 'kebab', 'buaya', 'panggang', 'minumannya', 'fifi', 'onta', 'segar', 'percakapan', 'memakai', 'bahasa', 'jawa', 'halu', 'alia', 'kromo', 'inggil', 'pulaseperti', 'ana', 'akhi', 'antum', 'afwan', 'hmmm', 'sungguh', 'mengagumkan', 'nb', 'seng', 'wani', 'prote', 'pki', 'opo', 'kow', 'bong']","['foto', 'gubernur', 'ani', 'makan', 'sekumpulan', 'orang', 'jawa', 'tulen']",<FreqDist with 39 samples and 41 outcomes>
28,28,1,mulan jameela undur dpr ri,mundur terhormat pecat hayo monggo mengundurkan sanggup becu kerjanya,"['mundur', 'terhormat', 'pecat', 'hayo', 'monggo', 'mengundurkan', 'sanggup', 'becu', 'kerjanya']","['mulan', 'jameela', 'undur', 'dpr', 'ri']",<FreqDist with 9 samples and 9 outcomes>
29,29,1,video fkppi bandung berkumpul mona siaga ruu hip disyahkan dpr,fkppi bandung berkumpul mona siaga ruu hip disyahkan dpr revolusi jihad mati syahid hidup mulia bela negara ancaman komunism,"['fkppi', 'bandung', 'berkumpul', 'mona', 'siaga', 'ruu', 'hip', 'disyahkan', 'dpr', 'revolusi', 'jihad', 'mati', 'syahid', 'hidup', 'mulia', 'bela', 'negara', 'ancaman', 'komunism']","['video', 'fkppi', 'bandung', 'berkumpul', 'mona', 'siaga', 'ruu', 'hip', 'disyahkan', 'dpr']",<FreqDist with 19 samples and 19 outcomes>
30,30,1,pembantu positif corona penjaringan,pembantu orang te positif corona,"['pembantu', 'orang', 'te', 'positif', 'corona']","['pembantu', 'positif', 'corona', 'penjaringan']",<FreqDist with 5 samples and 5 outcomes>
31,31,1,foto sudjiatmi disiksa alam barzakh,sudjiatmi disiksa alam barzakh hj sudjiatmi presiden jokowi tersiksa alam kubur sadi brutal kejam ampunan disaat tanggal april jenazah sudjiatmi semayamkan alam kubur beranjak makamnya beliau presiden joko widodo,"['sudjiatmi', 'disiksa', 'alam', 'barzakh', 'hj', 'sudjiatmi', 'presiden', 'jokowi', 'tersiksa', 'alam', 'kubur', 'sadi', 'brutal', 'kejam', 'ampunan', 'disaat', 'tanggal', 'april', 'jenazah', 'sudjiatmi', 'semayamkan', 'alam', 'kubur', 'beranjak', 'makamnya', 'beliau', 'presiden', 'joko', 'widodo']","['foto', 'sudjiatmi', 'disiksa', 'alam', 'barzakh']",<FreqDist with 23 samples and 29 outcomes>
32,32,1,berdamai corona jokowi pemerintah kalah menyerah,astaghfirullah kemarin lawan viru corona ayo berdamai dngn viru corona pemerintah kalah mengibarkan bendera putih tanda menyerah,"['astaghfirullah', 'kemarin', 'lawan', 'viru', 'corona', 'ayo', 'berdamai', 'dngn', 'viru', 'corona', 'pemerintah', 'kalah', 'mengibarkan', 'bendera', 'putih', 'tanda', 'menyerah']","['berdamai', 'corona', 'jokowi', 'pemerintah', 'kalah', 'menyerah']",<FreqDist with 15 samples and 17 outcomes>
33,33,1,penerima stiker pesan whatsapp dikenakan biaya,tahukah teman ku group stiker menguntungkan pembuat nya stiker gambar yang saudaraku krmkan wa pembayarannya dibebankan kepada yang menerima rp,"['tahukah', 'teman', 'ku', 'group', 'stiker', 'menguntungkan', 'pembuat', 'nya', 'stiker', 'gambar', 'yang', 'saudaraku', 'krmkan', 'wa', 'pembayarannya', 'dibebankan', 'kepada', 'yang', 'menerima', 'rp']","['penerima', 'stiker', 'pesan', 'whatsapp', 'dikenakan', 'biaya']",<FreqDist with 18 samples and 20 outcomes>
34,34,1,foto mahfud md mengaku ashraf nikahi bcl,mengaku ashraf pria nikahi bcl,"['mengaku', 'ashraf', 'pria', 'nikahi', 'bcl']","['foto', 'mahfud', 'md', 'mengaku', 'ashraf', 'nikahi', 'bcl']",<FreqDist with 5 samples and 5 outcomes>
35,35,1,diculik umur anak kejadian angkot lebak bulu parung ibunda sih bayi dihipnoti,diculik keponakan yulianah umur anak jeni kelamin perempuan kejadian angkot lebak bulu parung ibunda sih bayi dihipnoti angkot diturunkan pondok cabe pelakupenculikan kejadian sabtu feb jam,"['diculik', 'keponakan', 'yulianah', 'umur', 'anak', 'jeni', 'kelamin', 'perempuan', 'kejadian', 'angkot', 'lebak', 'bulu', 'parung', 'ibunda', 'sih', 'bayi', 'dihipnoti', 'angkot', 'diturunkan', 'pondok', 'cabe', 'pelakupenculikan', 'kejadian', 'sabtu', 'feb', 'jam']","['diculik', 'umur', 'anak', 'kejadian', 'angkot', 'lebak', 'bulu', 'parung', 'ibunda', 'sih', 'bayi', 'dihipnoti']",<FreqDist with 24 samples and 26 outcomes>
36,36,1,viru corona apartemen taman anggrek,dapat info client viru corona sudah sampai apart ta sudah orang wuhan yang kena tapi manag tutupi mall bisa beroperasi mereka enggak rugi barusan banget dapat info dari client yang suaminya orang cina mereka komunita orang cina indonesia mereka kasih tau untuk jauhi apart ta,"['dapat', 'info', 'client', 'viru', 'corona', 'sudah', 'sampai', 'apart', 'ta', 'sudah', 'orang', 'wuhan', 'yang', 'kena', 'tapi', 'manag', 'tutupi', 'mall', 'bisa', 'beroperasi', 'mereka', 'enggak', 'rugi', 'barusan', 'banget', 'dapat', 'info', 'dari', 'client', 'yang', 'suaminya', 'orang', 'cina', 'mereka', 'komunita', 'orang', 'cina', 'indonesia', 'mereka', 'kasih', 'tau', 'untuk', 'jauhi', 'apart', 'ta']","['viru', 'corona', 'apartemen', 'taman', 'anggrek']",<FreqDist with 33 samples and 45 outcomes>
37,37,1,presiden cina xi jinp mengunjungi masjid umat islam berdoa negeri dilanda krisi,presiden cina xi jinp mengunjungi masjid umat islam berdoa negara dilanda krisi membutuhkan bantuan,"['presiden', 'cina', 'xi', 'jinp', 'mengunjungi', 'masjid', 'umat', 'islam', 'berdoa', 'negara', 'dilanda', 'krisi', 'membutuhkan', 'bantuan']","['presiden', 'cina', 'xi', 'jinp', 'mengunjungi', 'masjid', 'umat', 'islam', 'berdoa', 'negeri', 'dilanda', 'krisi']",<FreqDist with 14 samples and 14 outcomes>
38,38,1,pesan berantai biaya tilang,biaya tilang terbaru indonesia kapolri mantap stnk rp tidak bawa sim rp tidak pakai helm rp,"['biaya', 'tilang', 'terbaru', 'indonesia', 'kapolri', 'mantap', 'stnk', 'rp', 'tidak', 'bawa', 'sim', 'rp', 'tidak', 'pakai', 'helm', 'rp']","['pesan', 'berantai', 'biaya', 'tilang']",<FreqDist with 13 samples and 16 outcomes>
39,39,1,video jokowi pucat surabaya pelaku korupsi,jokowi puct surabaya ungkp plku krup jiwasraya diduga orang jokow heboh,"['jokowi', 'puct', 'surabaya', 'ungkp', 'plku', 'krup', 'jiwasraya', 'diduga', 'orang', 'jokow', 'heboh']","['video', 'jokowi', 'pucat', 'surabaya', 'pelaku', 'korupsi']",<FreqDist with 11 samples and 11 outcomes>
40,40,1,all jakarta water park,perkenalkan all jakarta water park,"['perkenalkan', 'all', 'jakarta', 'water', 'park']","['all', 'jakarta', 'water', 'park']",<FreqDist with 5 samples and 5 outcomes>
41,41,1,pergantian kartu keluarga warga dki jakarta,dina dukcapil jakarta mewajibkan warga jakarta mengganti kakak tenggat imbauan memutakhirkan data didorong pemerintah input data statu pernikahan golongan darah susunan anggota keluarga,"['dina', 'dukcapil', 'jakarta', 'mewajibkan', 'warga', 'jakarta', 'mengganti', 'kakak', 'tenggat', 'imbauan', 'memutakhirkan', 'data', 'didorong', 'pemerintah', 'input', 'data', 'statu', 'pernikahan', 'golongan', 'darah', 'susunan', 'anggota', 'keluarga']","['pergantian', 'kartu', 'keluarga', 'warga', 'dki', 'jakarta']",<FreqDist with 21 samples and 23 outcomes>
42,42,1,usu ibunya dimakan bayi,bayi bulan dalam perut ibunya habi usu ibunya dimakan bayi dokter mengoprasi ibunya mengeluarkan bayi bayi gigit tangan perawat jam sih perawat meningg bayi meningg bayi bayi lahir dengan berat kg jam bertambah beratnya kg bayi lahir jumat allah kasih peringatan bayi ini dibunuh dokter memberinya suntik mematikan kali bayi mati kisah benarbenar india wallahu alam,"['bayi', 'bulan', 'dalam', 'perut', 'ibunya', 'habi', 'usu', 'ibunya', 'dimakan', 'bayi', 'dokter', 'mengoprasi', 'ibunya', 'mengeluarkan', 'bayi', 'bayi', 'gigit', 'tangan', 'perawat', 'jam', 'sih', 'perawat', 'meningg', 'bayi', 'meningg', 'bayi', 'bayi', 'lahir', 'dengan', 'berat', 'kg', 'jam', 'bertambah', 'beratnya', 'kg', 'bayi', 'lahir', 'jumat', 'allah', 'kasih', 'peringatan', 'bayi', 'ini', 'dibunuh', 'dokter', 'memberinya', 'suntik', 'mematikan', 'kali', 'bayi', 'mati', 'kisah', 'benarbenar', 'india', 'wallahu', 'alam']","['usu', 'ibunya', 'dimakan', 'bayi']",<FreqDist with 39 samples and 56 outcomes>
43,43,1,foto awan mengerikan jepang,ngeri sih semoga teman yang disana selamat amin yrb,"['ngeri', 'sih', 'semoga', 'teman', 'yang', 'disana', 'selamat', 'amin', 'yrb']","['foto', 'awan', 'mengerikan', 'jepang']",<FreqDist with 9 samples and 9 outcomes>
44,44,1,narasi presiden korea utara menghukum pejabatnya korupsi,presiden korea utara menghukum pejabatnya terlibat korupsi dihadapan awak media cetak elektronik berrjalan bergandengan tangan plung dibawahnya kandang buaya luaaaar biasa,"['presiden', 'korea', 'utara', 'menghukum', 'pejabatnya', 'terlibat', 'korupsi', 'dihadapan', 'awak', 'media', 'cetak', 'elektronik', 'berrjalan', 'bergandengan', 'tangan', 'plung', 'dibawahnya', 'kandang', 'buaya', 'luaaaar', 'biasa']","['narasi', 'presiden', 'korea', 'utara', 'menghukum', 'pejabatnya', 'korupsi']",<FreqDist with 21 samples and 21 outcomes>
45,45,1,almarhum habibi formasi ja merah mob umm,formasi merahputih kah ahmad dahlan logo umm student today leader tomorrow peta indonesia pray for lombok,"['formasi', 'merahputih', 'kah', 'ahmad', 'dahlan', 'logo', 'umm', 'student', 'today', 'leader', 'tomorrow', 'peta', 'indonesia', 'pray', 'for', 'lombok']","['almarhum', 'habibi', 'formasi', 'ja', 'merah', 'mob', 'umm']",<FreqDist with 16 samples and 16 outcomes>
46,46,1,petuga tewa tersetrum perbaikan listrik,kecamatan pedurungan,"['kecamatan', 'pedurungan']","['petuga', 'tewa', 'tersetrum', 'perbaikan', 'listrik']",<FreqDist with 2 samples and 2 outcomes>
47,47,1,tv negeri memberitakan prabowo the next presiden,tv negeri memberitakan prabowo the next presiden,"['tv', 'negeri', 'memberitakan', 'prabowo', 'the', 'next', 'presiden']","['tv', 'negeri', 'memberitakan', 'prabowo', 'the', 'next', 'presiden']",<FreqDist with 7 samples and 7 outcomes>
